Article,GT
"The Familiar Yet 'Forgotten' Tragedy of Hama . On February 2, 1982, Syrian troops -- acting under the orders of then-President Hafez al-Assad and led by his brother, Rifaat al-Assad -- besieged the city of Hama in an effort to quell an anti-government uprising by the Muslim Brotherhood.",0
"Make Mine Manhattan: An Ode To The Cocktail . If the martini is the undisputed king of gin drinks, the Manhattan rules the whiskey ones.",0
"Trump Suggests He'll Pardon Joe Arpaio, Self-Proclaimed 'Toughest Sheriff' In America . Trump and Arpaio were major players in the Obama birther movement.",0
"Body-Image Expert Thomas Cash Shares Little-Known Weight-Loss Secret . More than a mental picture of what you look like, your body image consists of your personal relationship with your body -- encompassing your perceptions, beliefs, thoughts, feelings, and actions that pertain to your physical appearance.",0
"UNEP Greenhouse Gas Emissions Report Finds Climate Change Goals Growing More Elusive . The UNEP report highlights the gap between these pledges and cuts needed put the world on a ""likely"" path to stay below the",0
"Jessica Biel's Odd Pink Dress Ensemble: Yay Or Nay? (PHOTOS, POLL) . Scroll down for pics. No, Jess didn't spice up her outfit with a famous ""Total Recall"" signature: Kaitlyn Leeb's three breasts",0
"This 'Missed Connection' Is Heartbreaking In The Best Possible Way . The ""missed connection"" below certainly fits the bill. In the post, the man recalls how he married a woman back in the 1980s",0
"DNC To Offer Sanders A Convention Concession . In an attempt to head off an ugly conflict at its convention this summer, the Democratic National Committee plans to offer",0
"Kurt Cobain Inspired Style Trends, Many Of Which We Saw At Saint Laurent (PHOTOS) . Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr, Pinterest and Instagram at @HuffPostStyle. -- Do",0
"Iraqi Forces Open Fire On Protesters Storming Green Zone . Dozens of people incurred injuries from tear gas and live fire, witnesses said",0
"Black Friday: The Psychology Of Getting A Deal, And How To Stress Less . So how can we avoid getting swept away in the Black Friday frenzy? Brannon suggests reminding yourself why you're shopping",0
"Joe Biden Tangles With Iraq War Protester . The vice president reminded the heckler of his late son Beau, an Iraq war veteran.",0
"How Students Decorated Their Dorm Rooms In 1900 . Established in 1845 by the final Congress of the Republic of Texas, Baylor University in Waco is the state’s oldest continually",0
"Hindi can become a language that symbolizes our self-respect in government affairs and brings us closer to the goal of Ek Bharat, Shreshtha Bharat: Dr Mansukh Mandaviya The present government has been steadfastly implementing the principles of Reform, Perform, and Transform of the use of Hindi: Dr Mansukh MandaviyaHindi Advisory Committee meeting of the Ministry of Chemicals, and Fertilizers held . “Promotion, and increased use of Hindi brings us closer to the Prime Minister’s vision of Ek Bharat, Shresth Bharat.” This was said by Dr. Mansukh Mandaviya, Union Minister for Chemicals and Fertilizers at the meeting of the Hindi Advisory Committee of the Ministry of Chemicals, and Fertilizers. The Hindi Advisory Committee is a committee constituted in each ministry of the central government to promote official work in Hindi, which has a provision of holding at least two meetings in a year. The committee's primary objective is to promote the use of Hindi as the official language within the ministry's operations and provide valuable recommendations to further enhance its implementation. Dr Mansukh Mandaviya, speaking at the event began with a profound quote from the Father of the Nation, Mahatma Gandhi, who emphasized the importance of utilizing Hindi in national practices for the expeditious progress of our nation. This sentiment resonates with the committee's mission to propel the adoption of Hindi as a medium of expression that reflects India's composite culture, as mandated by Article 351 of the Constitution of India. The Minister emphasizing the need for Ministries to use Hindi in their official work said, “The Ministry of Chemicals and Fertilizers is resolute in its commitment to fulfil the responsibilities entrusted upon it by the Department of Official Language, Ministry of Home Affairs, to propagate the official language Hindi and accomplish the goals outlined in the annual program. The ministry recognizes Hindi as a symbol of our national and cultural unity, reflecting our collective nationalism.” He further said, “Under the visionary leadership of our esteemed Prime Minister, Shri Narendra Modi, the present government has been steadfastly implementing the principles of Reform, Perform, and Transform. This philosophy extends to the realm of Hindi, as the government has made significant strides in advancing its use. Prime Minister Modi himself frequently utilizes Hindi as a means of communication during international forums, urging the representation of India's culture through simple and comprehensible language that harmonizes with all Indian languages. He spoke of the importance of leading from the front in the use of Hindi, as embodied by the Home Minister, as well as Chairperson of the Parliamentary Official Language Committee Shri Amit Shah, “Shri Amit Shah is himself an avid Hindi speaker, and ensures that work in his Ministries is done in Hindi.” The Ministry of Chemicals and Fertilizers has established robust mechanisms to ensure compliance with the official language policy within its departments, undertakings, and offices. As a means of encouragement, the Minister presented Citation/Rajbhasha Shield to various undertakings to applaud their efforts in promoting and using Hindi as the official language. The Minister further spoke of the relevance of these meetings in promoting the use of Hindi. “This committee, and these meetings presents an opportunity to channel our discussions towards providing a significant direction for the implementation of the official language policy. It is crucial to deliberate on how Hindi can become a language that symbolizes our self-respect in government affairs and brings us closer to the goal of Ek Bharat, Shreshtha Bharat.” The event was attended by Lok Sabha member Bhartruhari Mahtab, Secretary, Department of Chemicals and Fertilizers, Arun Bharoka, S Aparna, Secretary, Department of Pharmaceuticals, and various senior officials of the Ministry of Chemicals and Fertilizers, renowned journalists, Hindi scholars, and representatives of Hindi organizations.",0
"Philando Castile's Girlfriend Breaks Down In New Facebook Video . ""He was crying, they took my phone and threw it. They had machine guns pointed at my back.”",0
"Washington's Monuments in Minutes? Yes, You Can! . Did I say ""all"" the monuments in one day""? Yeah, more or less.",0
Tesla Autopilot Appears To Predict Crash Moments Before It Happens . Dashcam footage shows the Tesla braking just moments before the car ahead is rammed into a guardrail.,0
"Jaylen Brown: Donald Trump's Made It 'More Acceptable For Racists To Speak Their Minds' . ""I just think Trump’s character and some of his values [make] him unfit to lead.""",0
You Actually Have A Chance To Be Idris Elba's Valentine . WHERE DO I SIGN UP?! 😱,0
"Cabinet approves Memorandum of Understanding (MoU) on cooperation in the field of Disaster Management between the National Disaster Management Authority of the Republic of India and the National Disaster management Authority of the Republic of Maldives . The Union Cabinet, Chaired by Hon’ble Prime Minister has ex-post facto approved the Memorandum of Understanding (MoU) signed on 02nd August, 2022 between the National Disaster Management Authority of the Republic of India and the National Disaster Management Authority of the Republic of Maldives on cooperation in the field of Disaster Management. Benefits: The MoU seeks to put in place a system, whereby both India and Maldives will be benefited from the Disaster Management mechanisms of each other and it will help in strengthening the areas of preparedness, response and capacity building in the field of Disaster Management. Salient features of the MoU:",0
Watch Future Perform 'Low Life' On 'SNL' With Surprise Guest The Weeknd . The rapper also made a special appearance during the opening monologue.,0
"Mueller Probe Zeroes In On Trump's Inner Circle . The special counsel's team has reportedly interviewed the CIA director, the NSA director, and the Director of National Intelligence.",0
"1970s Hair Icons That Will Make You Nostalgic . Farrah Fawcett Meryl Streep Ali MacGraw Bo Derek Debbie Harry Hall's cred as a model and actress is pretty impressive, but",0
"Flow Downstream . Norman Fischer says, ""Life comes and goes. Life comes and goes very quickly. We don't need to worry so much."" When in doubt, find your footing in change. Instead of fighting the current, take cue, and for once in your life, flow downstream.",0
"Table Talk: President Obama Names Five New National Monuments . Over 100 years ago, President Theodore Roosevelt made Devils Tower in Wyoming America’s first national monument. This week",0
The Heart And Soul Of Godparenting . ,0
Surprise Proposal: News Anchor Reads Her Boyfriend's Marriage Proposal On Teleprompter (VIDEO) . Here's a story one TV news anchor never thought she'd break on air -- she's getting married! Keep in touch! Check out HuffPost,0
"Education and Credible Science Are Keys to Fighting Obesity . While I agree with the Sugar Association's Dr. Charles Baker in his recent blog that we should approach the obesity epidemic armed with knowledge, it appears the only thing the Sugar Association wants to do is exonerate its product and cast blame on other sweeteners.",0
"Jonathan Groff On Being Gay In Hollywood, 'Looking' And Madonna's iPhone Diss . Joking that he knew he ""wouldn't be the male romantic lead in a Nicholas Sparks movie"" after coming out, Jonathan Groff nonetheless",0
"Watch Weightlifter Celebrate Olympic Bronze With An Epic Backflip . Good job, Aurimas Didzbalis!",0
"Neil Young Doesn't Mince Words About 'Mess' Donald Trump . ""He doesn’t have the balls to look anybody in the face and tell them anything.""",0
Congress Passes Stopgap Spending Bill To Avert Government Shutdown . Strap on your can-kicking shoes.,0
Ukraine's President Hails First Full Overnight Truce In Rebel East . ,0
"Time for the Straight Talk on Time Outs . Time outs are a proven parenting tool when implemented correctly. They are one of the few disciplinary strategies recommended by the American Academy of Pediatrics to reduce problem behaviors including non-compliance, oppositional actions and verbal and physical aggression.",0
My Chemical Romance Hints At A Comeback With Cryptic Teaser Video On Twitter . We're nooooooooot OK. (We promise.),0
"Bird Hunters Should Be Aware Of Highly Pathogenic Avian Influenza In Wild Birds . Highly pathogenic avian influenza (HPAI) virus was first detected in wild birds and domestic poultry in Montana in spring 2022. While HPAI cases in wild birds did decline over the summer, there are detections of new cases in parts of the U.S., including Montana again this fall. HPAI viruses are extremely infectious and fatal to poultry and some species of wild birds. Montana Fish, Wildlife & Parks is continuing to monitor the situation by testing wild birds that display symptoms consistent with ",1
"Zika scare in Kerala: Pregnant women under watch; Thalassery district on alert- The New Indian Express . Detailing the measures being taken, Minister Veena Georgesaid fogging and spraying were being done to control the source of Zika virus-carrying mosquitoes.",1
"Avian bird flu found in Clarendon County wild ducks - YouTube . How to prevent the spread of avian flu from wild birds to domesticated flocks, tips from SC Department of Natural Resources",1
"Nigeria reports 579 confirmed diphtheria cases in July - Outbreak News Today . NewsDesk @bactiman63 The Nigeria Centre for Disease Control and Prevention (NCDC) reported a total of 1,506 suspected diphtheria cases from 59 LGAs in 11 states across the country in July 23. Kano (1,055), Yobe (232), Kaduna (85), Katsina (58) and Bauchi (47) states and the FCT (18) accounted for 99.3% of all suspected cases. Of the […]",1
Bird Flu Treatment Market worth $38.27 billion by 2030 | . The Bird Flu Treatment Market by Type Antivirals Combination Treatment Prophylactic Antibiotics End User Clinics Hospital Institutional Health Centers Cumulative Impact of COVID 19 Russia Ukraine Conflict and High Inflation Global Forecast 2023 2030 report has been added to 360iResearch ...,1
"An official administers vaccines against Ranikhet disease virus (R2B) during an awareness cum vaccination programme for chicken organised by ICAR-Krishi Vigyan Kendra, Tura, West Garo Hills under ‘Janjatiya Gaurav Divas’ in West Garo Hills, recently. - The Shillong Times . None",1
"WOAH OKs India’s self-declaration on bird flu free areas, says govt . New Delhi: The government on Saturday said the World Organisation for Animal Health (WOAH) has approved India’s self-declaration stating that it is free from HPAI, commonly known as bird flu, in...",1
"2 suspected monkeypox cases detected in Uri – Kashmir Reader  .  Uri: Two suspected cases of monkeypox have been detected in Uri area of north Kashmir’s Baramulla district, officials said on Monday",1
Dead birds removed from beaches after avian flu outbreak - BBC News . Hundreds of birds have been removed from Aberdeenshire beaches in the last few days.,1
"Assam: Three fall ill after consuming mushrooms in Golaghat district  - Assam: Three fall ill after consuming mushrooms in Golaghat district  -   .  Three members of a family seriously fell ill after consuming mushrooms at Merapani in Golaghat district on September 19, 2022",1
"In 11 days, over 500 fever cases reported in Pimpri-Chinchwad, 3 tested positive for dengue | Pune News, The Indian Express  .  However, no malaria and chikungunya cases were reported in July",1
"France orders 3rd shot of bird flu vaccination, citing 'new scientific evidence' | World News - Hindustan Times . France Bird Flu: France had raised the risk level of bird flu to 'high' from 'moderate'.",1
"One Sukhna Lake duck died of H5N1 bird flu: Lab report . Serum of some migratory birds had been sent for testing to the Jalandhar lab and the reports are awaited, Choudhary said.",1
Gujarat reports one H1N1 virus death with 77 cases so far | Latest News India - Hindustan Times  .  H3N2 has been the dominant subtype followed by H1N1,1
"West Nile virus case reported in NJ . New Jerseys first case of West Nile virus this year has been found in a Winslow Township resident, local officials said.",1
